A,R,amplitude,period
1.0e6,1000.0,335.95116040070803,57.200000000000045
1.0e6,1050.0,364.1856214586427,57.399999999999864
1.0e6,1100.0,391.85727682343986,57.700000000000045
1.0e6,1150.0,419.0868342422335,57.799999999999955
1.0e6,1200.0,445.949340030499,58.0
1.0e6,1250.0,472.51125554259386,58.100000000000136
1.0e6,1300.0,498.826227863764,58.399999999999864
1.0e6,1350.0,524.9274779681034,58.5
1.0e6,1400.0,550.8411066786161,58.80000000000018
1.0e6,1450.0,576.6115453231456,58.899999999999864
1.0e6,1500.0,602.2410688406854,59.09999999999991
1.0e6,1550.0,627.7571562301438,59.200000000000045
1.0e6,1600.0,653.1675026768276,59.399999999999864
1.0e6,1650.0,678.4899678149906,59.59999999999991
1.0e6,1700.0,703.7246656676601,59.80000000000018
1.0e6,1750.0,728.8965693651302,59.90000000000009
1.0e6,1800.0,754.012173289266,60.0
1.0e6,1850.0,779.059642646319,60.19999999999982
1.0e6,1900.0,804.0675782165183,60.399999999999864
1.0e6,1950.0,829.0160566662508,60.5
1.0e6,2000.0,853.9368850996899,60.59999999999991
1.0e6,2050.0,878.8242009174204,60.799999999999955
1.0e6,2100.0,903.6723792717597,61.0
1.0e6,2150.0,928.4845637529289,61.19999999999982
1.0e6,2200.0,953.2805499674611,61.299999999999955
1.0e6,2250.0,978.0443215485807,61.40000000000009
1.0e6,2300.0,1002.7793441408038,61.5
1.0e6,2350.0,1027.5000169500308,61.69999999999982
1.0e6,2400.0,1052.216485869608,61.90000000000009
1.0e6,2450.0,1076.9046051504138,62.0
1.0e6,2500.0,1101.5679262669298,62.200000000000045
1.0e6,2550.0,1126.2355299694486,62.299999999999955
1.0e6,2600.0,1150.8814091079805,62.40000000000009
1.0e6,2650.0,1175.5089068544535,62.5
1.0e6,2700.0,1200.1400828122853,62.59999999999991
1.0e6,2750.0,1224.7539382751943,62.799999999999955
1.0e6,2800.0,1249.358525569626,62.90000000000009
1.0e6,2850.0,1273.9515054090216,63.0
1.0e6,2900.0,1298.5323363462435,63.09999999999991
1.0e6,2950.0,1323.1238741519037,63.200000000000045
1.0e6,3000.0,1347.7079559524923,63.399999999999864
1.0e6,3050.0,1372.2784325201205,63.5
1.0e6,3100.0,1396.8459397755773,63.59999999999991
1.0e6,3150.0,1421.413136099551,63.799999999999955
1.0e6,3200.0,1445.9509759091413,63.90000000000009
1.0e6,3250.0,1470.5236455726222,64.0
1.0e6,3300.0,1495.077824299882,64.09999999999991
1.0e6,3350.0,1519.612549522896,64.19999999999982
1.0e6,3400.0,1544.1826447835235,64.29999999999995
1.0e6,3450.0,1568.7234065224766,64.40000000000009
1.0e6,3500.0,1593.2704152455844,64.60000000000014
1.0e6,3550.0,1617.7966446637924,64.59999999999991
1.0e6,3600.0,1642.36212570641,64.80000000000018
1.0e6,3650.0,1666.8984068097902,64.90000000000009
1.0e6,3700.0,1691.4350259090218,65.0
1.0e6,3750.0,1715.9832813636983,65.09999999999991
1.0e6,3800.0,1740.5241442042507,65.19999999999982
1.0e6,3850.0,1765.0575765806575,65.29999999999995
