t,M,P,model,gene
0.0,1.0e-6,100.0,Repressilator,Gene 1
1.0,1.8893791413621102,113.55334770312211,Repressilator,Gene 1
2.0,3.488720456265569,201.9559399912177,Repressilator,Gene 1
3.0,4.8227046254725,344.7936769275205,Repressilator,Gene 1
4.0,5.911116411445944,521.589043859308,Repressilator,Gene 1
5.0,6.776825175641053,716.1371229394476,Repressilator,Gene 1
6.0,7.443476311065336,915.8820785287509,Repressilator,Gene 1
7.0,7.931394893223383,1111.3182811151871,Repressilator,Gene 1
8.0,8.25439513750498,1295.3156450585695,Repressilator,Gene 1
9.0,8.417764666463393,1462.4193918286617,Repressilator,Gene 1
10.0,8.417510853231626,1608.184800507453,Repressilator,Gene 1
11.0,8.24178430877059,1728.607776099057,Repressilator,Gene 1
12.0,7.876437952666705,1819.754231476092,Repressilator,Gene 1
13.0,7.316355860479871,1877.762219570733,Repressilator,Gene 1
14.0,6.580053237649969,1899.3953861707803,Repressilator,Gene 1
15.0,5.718089117523294,1883.1053806371515,Repressilator,Gene 1
16.0,4.805215721297667,1830.122714343057,Repressilator,Gene 1
17.0,3.9185561657998864,1744.8568513976638,Repressilator,Gene 1
18.0,3.1166077172958873,1634.2610582639882,Repressilator,Gene 1
19.0,2.4306554210217186,1506.5028526931503,Repressilator,Gene 1
20.0,1.868073368233676,1369.5962994299032,Repressilator,Gene 1
21.0,1.4206960320938347,1230.4504670895087,Repressilator,Gene 1
22.0,1.0727904907135064,1094.433370550713,Repressilator,Gene 1
23.0,0.8065451251781895,965.3325685817265,Repressilator,Gene 1
24.0,0.6051150161236769,845.5422066639402,Repressilator,Gene 1
25.0,0.4539578509512798,736.3404193209165,Repressilator,Gene 1
26.0,0.3411759453056282,638.1736534419479,Repressilator,Gene 1
27.0,0.25736325111089237,550.906861294108,Repressilator,Gene 1
28.0,0.19525302428084684,474.0252300938562,Repressilator,Gene 1
29.0,0.14932194230298407,406.7874437161157,Repressilator,Gene 1
30.0,0.11542319023381703,348.3368187399402,Repressilator,Gene 1
31.0,0.09047584795099596,297.7785777175783,Repressilator,Gene 1
32.0,0.07221516246467212,254.23126808836963,Repressilator,Gene 1
33.0,0.058997936156790484,216.859185724167,Repressilator,Gene 1
34.0,0.049653623219470415,184.89130423286815,Repressilator,Gene 1
35.0,0.04337227417903301,157.63092980608337,Repressilator,Gene 1
36.0,0.03962323140362683,134.4592080766111,Repressilator,Gene 1
37.0,0.03810084468125975,114.83476071054687,Repressilator,Gene 1
38.0,0.038694242913096186,98.29116734967053,Repressilator,Gene 1
39.0,0.04147847304555077,84.43365675645542,Repressilator,Gene 1
40.0,0.04672538234961252,72.9361006050747,Repressilator,Gene 1
41.0,0.05493449774922619,63.53919369651113,Repressilator,Gene 1
42.0,0.06688627031068066,56.05058525580949,Repressilator,Gene 1
43.0,0.08372202899451106,50.347714514340275,Repressilator,Gene 1
44.0,0.1070566566412224,46.384193031722475,Repressilator,Gene 1
45.0,0.13913098099200863,44.20072729192754,Repressilator,Gene 1
46.0,0.18301030873376353,43.941742660566575,Repressilator,Gene 1
47.0,0.2428317406664633,45.8789766990322,Repressilator,Gene 1
48.0,0.32409276481737836,50.44319607831584,Repressilator,Gene 1
49.0,0.43395250199310503,58.26459262981694,Repressilator,Gene 1
50.0,0.5814789947559078,70.22084240599006,Repressilator,Gene 1
51.0,0.7777167084995626,87.48841376236125,Repressilator,Gene 1
