t,M,P,model,gene
0.0,1.0e-6,100.0,Repressilator,Gene 1
1.0,2.0463976456072053,114.98378560190162,Repressilator,Gene 1
2.0,4.022008837357378,214.9024858472561,Repressilator,Gene 1
3.0,5.803711713134103,385.49791546180955,Repressilator,Gene 1
4.0,7.30490351435147,605.2711540345383,Repressilator,Gene 1
5.0,8.504106088393156,853.1368272951486,Repressilator,Gene 1
6.0,9.426599606501343,1111.202472894908,Repressilator,Gene 1
7.0,10.11821899880269,1365.9887228323478,Repressilator,Gene 1
8.0,10.627796256865173,1608.3480108056867,Repressilator,Gene 1
9.0,10.998783300642245,1832.7439249834254,Repressilator,Gene 1
10.0,11.266539494905954,2036.3664051213023,Repressilator,Gene 1
11.0,11.458303735390357,2218.3174110979367,Repressilator,Gene 1
12.0,11.593911423393644,2378.943640047829,Repressilator,Gene 1
13.0,11.685063609607118,2519.2971109666287,Repressilator,Gene 1
14.0,11.723393629723775,2640.5515626652136,Repressilator,Gene 1
15.0,11.589462087383415,2742.306200484702,Repressilator,Gene 1
16.0,10.66888812513226,2813.7108202564964,Repressilator,Gene 1
17.0,8.465063498578882,2815.2699889960427,Repressilator,Gene 1
18.0,6.167805980482144,2716.413855423253,Repressilator,Gene 1
19.0,4.4021904379474455,2538.065021611873,Repressilator,Gene 1
20.0,3.128425385113322,2315.449226461998,Repressilator,Gene 1
21.0,2.220852801785321,2075.774001778469,Repressilator,Gene 1
22.0,1.5760576400174453,1836.8207828280454,Repressilator,Gene 1
23.0,1.1183328352138384,1609.3209125290052,Repressilator,Gene 1
24.0,0.7934988771318492,1399.1784337770378,Repressilator,Gene 1
25.0,0.5630018626449392,1209.11574761755,Repressilator,Gene 1
26.0,0.3994546434446887,1039.8257283221903,Repressilator,Gene 1
27.0,0.2834148903792696,890.7584757842752,Repressilator,Gene 1
28.0,0.20108413869316677,760.6490799134909,Repressilator,Gene 1
29.0,0.1426707616033146,647.8653743455143,Repressilator,Gene 1
30.0,0.10122696761894275,550.6320794787888,Repressilator,Gene 1
31.0,0.07182306268353622,467.17091148228604,Repressilator,Gene 1
32.0,0.050961358056255415,395.7841665162793,Repressilator,Gene 1
33.0,0.03616023731739828,334.9007803251262,Repressilator,Gene 1
34.0,0.025659009694323748,283.09790855774827,Repressilator,Gene 1
35.0,0.01820848694531264,239.10692660233875,Repressilator,Gene 1
36.0,0.012922389753600232,201.8098677563881,Repressilator,Gene 1
37.0,0.009171918884623901,170.23032905853654,Repressilator,Gene 1
38.0,0.006510951189721716,143.52150469238535,Repressilator,Gene 1
39.0,0.004622962334365062,120.9530884722557,Repressilator,Gene 1
40.0,0.003283444853202151,101.89817705781395,Repressilator,Gene 1
41.0,0.0023334449878096696,85.82047326973803,Repressilator,Gene 1
42.0,0.0016604192021562223,72.26211946775784,Repressilator,Gene 1
43.0,0.0011847539847021507,60.83340655097128,Repressilator,Gene 1
44.0,0.0008505343448279096,51.20351538038207,Repressilator,Gene 1
45.0,0.0006191836632494253,43.09206918300236,Repressilator,Gene 1
46.0,0.00046537991538257863,36.26176743357717,Repressilator,Gene 1
47.0,0.00037501511189486384,30.512071586898944,Repressilator,Gene 1
48.0,0.00034540654144689956,25.673850363478856,Repressilator,Gene 1
49.0,0.0003886681848002794,21.60492904125434,Repressilator,Gene 1
50.0,0.0005403860014897296,18.18655871171065,Repressilator,Gene 1
51.0,0.0008780712175122774,15.320944428723045,Repressilator,Gene 1
52.0,0.0015583881627328528,12.9302007482321,Repressilator,Gene 1
53.0,0.0028910185178060805,10.957546017004757,Repressilator,Gene 1
54.0,0.0054844011045656615,9.372409812741928,Repressilator,Gene 1
55.0,0.010532414573018428,8.18281486891237,Repressilator,Gene 1
56.0,0.020375724137874338,7.461672035336255,Repressilator,Gene 1
57.0,0.039590190788168673,7.399888065310867,Repressilator,Gene 1
58.0,0.07705330492814454,8.410698326217853,Repressilator,Gene 1
59.0,0.1496966475656545,11.329022231011237,Repressilator,Gene 1
60.0,0.2886912178257352,17.775532165887647,Repressilator,Gene 1
61.0,0.5474996814328401,30.76460111503045,Repressilator,Gene 1
62.0,1.0058143887848359,55.538514652401524,Repressilator,Gene 1
63.0,1.7525989277267653,100.22691845258535,Repressilator,Gene 1
64.0,2.831454957502917,175.29310922772885,Repressilator,Gene 1
65.0,4.177793796521124,290.4232805367262,Repressilator,Gene 1
66.0,5.627073551054974,449.3997718543517,Repressilator,Gene 1
67.0,7.002677633061887,647.4641027413371,Repressilator,Gene 1
68.0,8.19101585802607,873.3494160010586,Repressilator,Gene 1
69.0,9.152874283466227,1113.4983619116579,Repressilator,Gene 1
70.0,9.898352163284464,1355.4988392835598,Repressilator,Gene 1
71.0,10.459802863368553,1589.7432763919546,Repressilator,Gene 1
72.0,10.874689953131618,1809.7209447362802,Repressilator,Gene 1
73.0,11.177390189198778,2011.6185031590553,Repressilator,Gene 1
74.0,11.396339850181988,2193.69777992338,Repressilator,Gene 1
75.0,11.553777279644605,2355.6874093913198,Repressilator,Gene 1
76.0,11.666522664550648,2498.278599217005,Repressilator,Gene 1
77.0,11.74703371588432,2622.7423714020656,Repressilator,Gene 1
