A,R,S,τ
1000.0,1000.0,32.983792402178985,104.96742054694727
1000.0,1050.0,36.57569159691625,103.19374771227069
1000.0,1100.0,40.342232118698085,101.66012644680211
1000.0,1150.0,44.28349179180326,100.31891110307495
1000.0,1200.0,48.39953099465131,99.13924370671215
1000.0,1250.0,52.690397181675486,98.09580914466807
1000.0,1300.0,57.15612807075476,97.17047393682584
1000.0,1350.0,61.7967538951255,96.34137654435528
1000.0,1400.0,66.61229920408384,95.59599443634279
1000.0,1450.0,71.60278399681256,94.9280600662415
1000.0,1500.0,76.76822470426238,94.31795164040129
1000.0,1550.0,82.10863497600306,93.77359755058154
1000.0,1600.0,87.62402606274244,93.27562597531478
1000.0,1650.0,93.31440745984915,92.82026916250386
1000.0,1700.0,99.17978707222422,92.4051008680844
1000.0,1750.0,105.22017155978955,92.02046810477822
1000.0,1800.0,111.43556655192091,91.67498226919675
1000.0,1850.0,117.82597676688736,91.3575715978552
1000.0,1900.0,124.3914062964027,91.05583834424043
1000.0,1950.0,131.13185846767357,90.78976656027984
1000.0,2000.0,138.0473361655053,90.53731932567165
1000.0,2050.0,145.13784181604137,90.3050232513234
1000.0,2100.0,152.40337741041327,90.09001564904486
1000.0,2150.0,159.84394471217428,89.89331832475153
1000.0,2200.0,167.45954501089912,89.70708115964075
1000.0,2250.0,175.25017962844882,89.53394281446354
1000.0,2300.0,183.21584935487206,89.37906194953918
1000.0,2350.0,191.35655496521292,89.22792432778448
1000.0,2400.0,199.67229701562226,89.09453958730334
1000.0,2450.0,208.16307592617378,88.96513683951852
1000.0,2500.0,216.82889196300857,88.85050588872615
1000.0,2550.0,225.6697452851337,88.73966674982827
1000.0,2600.0,234.68563592692692,88.64105555405668
1000.0,2650.0,243.8765638329022,88.54456811905193
1000.0,2700.0,253.2425288628268,88.46009491507783
1000.0,2750.0,262.7835307962392,88.37619540124503
1000.0,2800.0,272.499569316277,88.30213827671491
1000.0,2850.0,282.3906438860957,88.23048002100933
1000.0,2900.0,292.45675458780676,88.16484210372109
1000.0,2950.0,302.6979004397731,88.10571761094464
1000.0,3000.0,313.1140810567608,88.04870871108702
1000.0,3050.0,323.70529584772487,88.00105328826443
1000.0,3100.0,334.471544143824,87.95026831949608
1000.0,3150.0,345.41282536983846,87.90879925499785
1000.0,3200.0,356.5291387055228,87.87179903598569
1000.0,3250.0,367.8204835785972,87.8356659970048
1000.0,3300.0,379.2868587080346,87.79755556883856
1000.0,3350.0,390.9282637585491,87.77049425399214
1000.0,3400.0,402.74469769638915,87.74332861605372
1000.0,3450.0,414.73615967914606,87.71747836762957
1000.0,3500.0,426.90264870434333,87.69494684661755
1000.0,3550.0,439.24416381996735,87.67242227548584
1000.0,3600.0,451.76070412858417,87.65703457239876
1000.0,3650.0,464.452268553247,87.64205996540326
1000.0,3700.0,477.3188561008366,87.62936141955953
1000.0,3750.0,490.3604654649858,87.61453130493935
1000.0,3800.0,503.5770962843707,87.60487387322638
1000.0,3850.0,516.968746747429,87.59568874501718
1000.0,3900.0,530.5354159493186,87.58957061532297
1000.0,3950.0,544.2771027382909,87.5886379942234
1000.0,4000.0,558.1938059992291,87.5806916556194
1000.0,4050.0,572.2855244568901,87.58278845934883
1000.0,4100.0,586.5522569599418,87.58124522450227
1000.0,4150.0,600.9940022386176,87.58321157702206
1000.0,4200.0,615.610759091143,87.58449788024677
1000.0,4250.0,630.4025260923577,87.58837681321536
1000.0,4300.0,645.369302340183,87.5917075933079
1000.0,4350.0,660.5110859686355,87.59755265036064
1000.0,4400.0,675.8278762068012,87.60195977989684
1000.0,4450.0,691.3196712755406,87.60555013639386
1000.0,4500.0,706.9864700350442,87.61944132003022
1000.0,4550.0,722.8282710657301,87.62391920848084
1000.0,4600.0,738.8450728948769,87.6361961930597
1000.0,4650.0,755.0368741658101,87.64823775344635
1000.0,4700.0,771.4036733835186,87.6602341450999
1000.0,4750.0,787.945469209672,87.67134682791823
1000.0,4800.0,804.6622600468808,87.6839767000849
1000.0,4850.0,821.5540444855362,87.69722823054497
1000.0,4900.0,838.6208209780038,87.70933018943649
1000.0,4950.0,855.8625881637877,87.72970416000832
1000.0,5000.0,873.2793440184987,87.74146892804403
1000.0,5050.0,890.8710874698666,87.75413390156325
1000.0,5100.0,908.6378168326015,87.77443904239617
1000.0,5150.0,926.5795305270358,87.79235834522852
1000.0,5200.0,944.6962267231502,87.80823467578354
1000.0,5250.0,962.9879039760701,87.8265480746123
1000.0,5300.0,981.4545607667077,87.84782876282381
1000.0,5350.0,1000.0961952453652,87.8638860168947
1000.0,5400.0,1018.9128057485433,87.8836690294913
1000.0,5450.0,1037.904390809257,87.90311673329292
