t,M,P,model,sim,gene
0,1.0e-6,50.0,Toggle,1,1
1,1.6810517439956476,68.73616696243404,Toggle,1,1
2,2.0237384225807515,141.26004210939993,Toggle,1,1
3,1.7711360727657763,207.79987516372404,Toggle,1,1
4,1.446665564964855,250.952462711381,Toggle,1,1
5,1.1659007362214089,273.0784672166622,Toggle,1,1
6,0.9463912701674022,279.7764804047044,Toggle,1,1
7,0.7829192310079691,276.19910956015656,Toggle,1,1
8,0.6654280045003771,266.37910904478167,Toggle,1,1
9,0.5838008871586463,253.25737344176028,Toggle,1,1
10,0.5290226632515077,238.86732744850553,Toggle,1,1
11,0.493293481971332,224.52810373903168,Toggle,1,1
12,0.4699334995584183,211.0099961728523,Toggle,1,1
13,0.45336340752842674,198.6710278683864,Toggle,1,1
14,0.4391975306574338,187.57318241384132,Toggle,1,1
15,0.4243538676143489,177.5853291390631,Toggle,1,1
16,0.4070562616470417,168.47383615348403,Toggle,1,1
17,0.3866676317966447,159.97673911306134,Toggle,1,1
18,0.3633890693401415,151.85654628067644,Toggle,1,1
19,0.3379168216347451,143.93008453562868,Toggle,1,1
20,0.3111441707366627,136.0783458962141,Toggle,1,1
21,0.28395346175023994,128.24229205245268,Toggle,1,1
22,0.2571012544940713,120.41109599518518,Toggle,1,1
23,0.23117534206261653,112.6080293630554,Toggle,1,1
24,0.20659628061754748,104.87728482625255,Toggle,1,1
25,0.18364043774291158,97.27329218708122,Toggle,1,1
26,0.1624692906700181,89.85289037376779,Toggle,1,1
27,0.1431567890174586,82.67006203312293,Toggle,1,1
28,0.12571161983891013,75.77268369107905,Toggle,1,1
29,0.11009413634153146,69.20073169362911,Toggle,1,1
30,0.09622902237648998,62.98548388335782,Toggle,1,1
31,0.08401504265440943,57.149385300170174,Toggle,1,1
32,0.07333297272835955,51.70635751236228,Toggle,1,1
33,0.06405237340910194,46.66241147796035,Toggle,1,1
34,0.05603748844804588,42.01646728938655,Toggle,1,1
35,0.04915230075392743,37.761310106726796,Toggle,1,1
36,0.04326468017850008,33.88461971915824,Toggle,1,1
37,0.03824956430992004,30.370017749245992,Toggle,1,1
38,0.03399117448590367,27.198083170733877,Toggle,1,1
39,0.030384341486553633,24.34729586326111,Toggle,1,1
40,0.02733507033715808,21.79487899898567,Toggle,1,1
41,0.02476050339652854,19.517522669889225,Toggle,1,1
42,0.022588444768537275,17.491981886572436,Toggle,1,1
43,0.02075659545211772,15.695550900920516,Toggle,1,1
44,0.01921162406733654,14.1064223103381,Toggle,1,1
45,0.01790816993765359,12.703943526408269,Toggle,1,1
46,0.016807848396338407,11.468785280389607,Toggle,1,1
47,0.015878304881386154,10.383037349949397,Toggle,1,1
48,0.01509234566273026,9.43024608028049,Toggle,1,1
49,0.014427159190638897,8.595406929186652,Toggle,1,1
50,0.01386363198883681,7.864923599894311,Toggle,1,1
51,0.013385757302616541,7.226543755869444,Toggle,1,1
52,0.012980128025716502,6.669278631715535,Toggle,1,1
53,0.012635509637083162,6.183314151174742,Toggle,1,1
54,0.012342478305413955,5.759916594546669,Toggle,1,1
55,0.01209312076870831,5.39133905558441,Toggle,1,1
56,0.011880781921266488,5.070728311455453,Toggle,1,1
57,0.011699857172070562,4.7920371569939455,Toggle,1,1
58,0.011545618625052535,4.549940554267174,Toggle,1,1
