t,M,P,model,sim,gene
0,1.0e-6,50.0,Toggle,1,1
1,1.5730120230485516,69.23988555253923,Toggle,1,1
2,1.3867296716634956,128.90640926011005,Toggle,1,1
3,1.010851404185097,166.33572976408658,Toggle,1,1
4,0.7257122789926466,181.9886748167397,Toggle,1,1
5,0.519992252384192,183.3145616994971,Toggle,1,1
6,0.3731326543459384,175.88639054615624,Toggle,1,1
7,0.26881784831107647,163.53125992492852,Toggle,1,1
8,0.194997252531572,148.79670533477886,Toggle,1,1
9,0.14282952024630247,133.32744260542407,Toggle,1,1
10,0.10573405839348392,118.13804425433334,Toggle,1,1
11,0.07881113355549478,103.80551126324347,Toggle,1,1
12,0.05867052649703995,90.61167916627343,Toggle,1,1
13,0.04330375935129176,78.65780133037272,Toggle,1,1
14,0.03161687513879847,67.95099568484255,Toggle,1,1
15,0.022877321204759573,58.45295197178286,Toggle,1,1
16,0.016453592098770675,50.09904193977322,Toggle,1,1
17,0.011790002061292207,42.80635798826304,Toggle,1,1
18,0.00843020106889923,36.48052767733317,Toggle,1,1
19,0.006020754791366362,31.022379486503183,Toggle,1,1
20,0.00429755342077292,26.333426580146753,Toggle,1,1
21,0.0030671749791938018,22.319707778217015,Toggle,1,1
22,0.002189559654090511,18.894122054033172,Toggle,1,1
23,0.001563946586879652,15.97760691697458,Toggle,1,1
24,0.001118128544301638,13.49951256829937,Toggle,1,1
25,0.000800484777367349,11.397454507947975,Toggle,1,1
26,0.0005741687071396152,9.616852238818847,Toggle,1,1
27,0.00041290609729218163,8.110297692458737,Toggle,1,1
28,0.0002979741290319278,6.836849228921112,Toggle,1,1
29,0.00021603694970735244,5.761312838065945,Toggle,1,1
30,0.00015759843534951285,4.853548525046998,Toggle,1,1
31,0.00011589776671854954,4.087823456246729,Toggle,1,1
32,8.612188728155706e-5,3.442222668213196,Toggle,1,1
33,6.48443482695926e-5,2.898121386722296,Toggle,1,1
34,4.96255096127446e-5,2.4397178628520946,Toggle,1,1
35,3.8728278890474516e-5,2.053625063020706,Toggle,1,1
36,3.091538774982764e-5,1.7285146590330904,Toggle,1,1
37,2.5305404144605445e-5,1.4548103719532215,Toggle,1,1
38,2.127010535196713e-5,1.2244233432289378,Toggle,1,1
39,1.836157664195408e-5,1.0305261340646152,Toggle,1,1
40,1.626026100350657e-5,0.8673591913144951,Toggle,1,1
41,1.4738037525714675e-5,0.7300662892835116,Toggle,1,1
42,1.363192723019434e-5,0.6145545240632185,Toggle,1,1
43,1.2825381861795694e-5,0.5173754854435453,Toggle,1,1
44,1.2234968674846494e-5,0.43562469526963576,Toggle,1,1
45,1.1800880564906131e-5,0.36685631919245865,Toggle,1,1
46,1.1480185526187544e-5,0.3090112626221418,Toggle,1,1
47,1.1242008655604225e-5,0.2603562394609981,Toggle,1,1
48,1.106410328489199e-5,0.21943249795162845,Toggle,1,1
49,1.093040129619357e-5,0.1850124475922387,Toggle,1,1
50,1.0829266862060708e-5,0.1560631587543088,Toggle,1,1
51,1.0752248019722242e-5,0.13171556629414471,Toggle,1,1
52,1.0693184314557668e-5,0.11123852182545366,Toggle,1,1
53,1.0647568284423308e-5,0.09401696056190474,Toggle,1,1
54,1.0612087463746557e-5,0.07953347956704603,Toggle,1,1
55,1.0584296107255708e-5,0.06735286971838457,Toggle,1,1
56,1.0562378780434256e-5,0.057109054993674156,Toggle,1,1
57,1.054498035906301e-5,0.048494134281562386,Toggle,1,1
58,1.0531083072186708e-5,0.04124913408793939,Toggle,1,1
59,1.0519917614630431e-5,0.03515624384082717,Toggle,1,1
60,1.0510898544199482e-5,0.03003227503200251,Toggle,1,1
61,1.0503577229960039e-5,0.025723159373918156,Toggle,1,1
62,1.0497607450191937e-5,0.02209932435377826,Toggle,1,1
63,1.049272010054223e-5,0.019051796081410603,Toggle,1,1
64,1.0488704556965235e-5,0.016488929550219796,Toggle,1,1
65,1.048539482405136e-5,0.014333649996965932,Toggle,1,1
66,1.0482659223160938e-5,0.012521139853291742,Toggle,1,1
67,1.0480392637342762e-5,0.010996887720425093,Toggle,1,1
68,1.0478510663360785e-5,0.00971505110735279,Toggle,1,1
69,1.047694515954215e-5,0.008637077522314922,Toggle,1,1
70,1.0475640838022696e-5,0.007730545189967788,Toggle,1,1
71,1.0474552637560871e-5,0.00696818854132667,Toggle,1,1
72,1.0473643683004976e-5,0.006327078677956154,Toggle,1,1
73,1.0472883684688129e-5,0.005787932095009741,Toggle,1,1
74,1.04722476861623e-5,0.005334532236543599,Toggle,1,1
75,1.0471715066315725e-5,0.004953242174472179,Toggle,1,1
76,1.047126874335569e-5,0.004632593650290408,Toggle,1,1
77,1.0470894536273539e-5,0.004362941888710508,Toggle,1,1
78,1.0470580651205076e-5,0.00413617624708218,Toggle,1,1
79,1.04703172637194e-5,0.003945476218241141,Toggle,1,1
80,1.0470096177925488e-5,0.0037851057707332155,Toggle,1,1
81,1.0469910548630696e-5,0.0036502410842058205,Toggle,1,1
82,1.0469754653305132e-5,0.0035368257664579964,Toggle,1,1
83,1.0469623703344828e-5,0.0034414484661381525,Toggle,1,1
84,1.046951368864417e-5,0.003361240276857318,Toggle,1,1
85,1.0469421249172311e-5,0.0032937886718190238,Toggle,1,1
86,1.0469343567987227e-5,0.003237064849482794,Toggle,1,1
87,1.0469278282228186e-5,0.003189362596234064,Toggle,1,1
88,1.046922340924545e-5,0.003149247062783641,Toggle,1,1
89,1.046917728495612e-5,0.0031155116677738888,Toggle,1,1
90,1.0469138512132544e-5,0.003087141685310967,Toggle,1,1
91,1.0469105917559356e-5,0.0030632839041435478,Toggle,1,1
92,1.0469078515299537e-5,0.0030432204806742497,Toggle,1,1
93,1.0469055477469424e-5,0.003026348031313439,Toggle,1,1
94,1.0469036108254896e-5,0.003012158993788819,Toggle,1,1
95,1.0469019823143656e-5,0.003000226682349242,Toggle,1,1
96,1.0469006130621189e-5,0.0029901920726553622,Toggle,1,1
97,1.0468994617852782e-5,0.0029817534445664637,Toggle,1,1
98,1.0468984937585567e-5,0.0029746568902813734,Toggle,1,1
99,1.0468976798107898e-5,0.0029686890252198965,Toggle,1,1
